
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G =      -10
    g =       10
    e =      0.5

        t           u           v       uerr      verr
    6.999995    1.173433    1.630029  3.46e-06  3.34e-06
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 106 (attempted = 106)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1781,  Fi = 0
   Total mass matrix setups = 1369
   Total mass matrix solves = 1781
   Total mass times evals = 106
   Errors: u = 3.53735e-06, v = 1.7243e-06, total = 2.78263e-06
