
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G =      -10
    g =       10
    e =      0.5

        t           u           v       uerr      verr
    6.999995    1.173431    1.630026  5.60e-06  2.38e-07
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 141 (attempted = 143)
   Total number of error test failures = 2
   Total RHS evals:  Fe = 575,  Fi = 0
   Total mass matrix setups = 432
   Total mass matrix solves = 575
   Total mass times evals = 141
   Errors: u = 4.76268e-06, v = 4.02497e-07, total = 3.37973e-06
